epoch,epoch_train_duration_minutes,lr-RangerLite,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,0.001,9,,,,
0,,,9,,2.511674642562866,,
,,0.001,19,,,,
0,,,19,,1.7808184623718262,,
,,0.001,29,,,,
0,,,29,,1.4882183074951172,,
,,0.001,39,,,,
0,,,39,,1.3545937538146973,,
,,0.001,49,,,,
0,,,49,,1.5719645023345947,,
,,0.001,59,,,,
0,,,59,,2.194352626800537,,
,,0.001,69,,,,
0,,,69,,1.93319571018219,,
,,0.001,79,,,,
0,,,79,,1.9059327840805054,,
,,0.001,89,,,,
0,,,89,,1.8777871131896973,,
,,0.001,99,,,,
0,,,99,,1.8100721836090088,,
,,0.001,109,,,,
0,,,109,,1.5669870376586914,,
,,0.001,119,,,,
0,,,119,,1.5198909044265747,,
,,0.001,129,,,,
0,,,129,,1.525870680809021,,
,,0.001,139,,,,
0,,,139,,1.5022834539413452,,
,,0.001,149,,,,
0,,,149,,1.5512632131576538,,
,,0.001,159,,,,
0,,,159,,1.554304599761963,,
,,0.001,169,,,,
0,,,169,,1.4974061250686646,,
,,0.001,179,,,,
0,,,179,,1.585687279701233,,
,,0.001,189,,,,
0,,,189,,1.6130445003509521,,
,,0.001,199,,,,
0,,,199,,1.6105163097381592,,
,,0.001,209,,,,
0,,,209,,1.5972851514816284,,
,,0.001,219,,,,
0,,,219,,1.5167309045791626,,
,,0.001,229,,,,
0,,,229,,1.6501246690750122,,
,,0.001,239,,,,
0,,,239,,1.5388950109481812,,
,,0.001,249,,,,
0,,,249,,1.5558147430419922,,
,,0.001,259,,,,
0,,,259,,1.5498957633972168,,
,,0.001,269,,,,
0,,,269,,1.5721136331558228,,
,,0.001,279,,,,
0,,,279,,1.6223613023757935,,
,,0.001,289,,,,
0,,,289,,1.6340316534042358,,
,,0.001,299,,,,
0,,,299,,1.5386772155761719,,
,,0.001,309,,,,
0,,,309,,1.6994976997375488,,
,,0.001,319,,,,
0,,,319,,1.6616652011871338,,
,,0.001,329,,,,
0,,,329,,1.637694239616394,,
,,0.001,339,,,,
0,,,339,,1.6335797309875488,,
,,0.001,349,,,,
0,,,349,,1.589459776878357,,
,,0.001,359,,,,
0,,,359,,1.6414592266082764,,
,,0.001,369,,,,
0,,,369,,1.4349614381790161,,
,,0.001,379,,,,
0,,,379,,1.5753235816955566,,
,,0.001,389,,,,
0,,,389,,1.6520466804504395,,
,,0.001,399,,,,
0,,,399,,1.5408573150634766,,
,,0.001,409,,,,
0,,,409,,1.3857096433639526,,
,,0.001,419,,,,
0,,,419,,1.3806020021438599,,
,,0.001,429,,,,
0,,,429,,1.4052537679672241,,
,,0.001,439,,,,
0,,,439,,1.407442331314087,,
,,0.001,449,,,,
0,,,449,,1.2718585729599,,
,,0.001,459,,,,
0,,,459,,1.486771821975708,,
,,0.001,469,,,,
0,,,469,,1.372398853302002,,
,,0.001,479,,,,
0,,,479,,1.4251186847686768,,
,,0.001,489,,,,
0,,,489,,1.3306307792663574,,
,,0.001,499,,,,
0,,,499,,1.2606239318847656,,
,,0.001,509,,,,
0,,,509,,0.7717944383621216,,
,,0.001,519,,,,
0,,,519,,0.7194797992706299,,
,,0.001,529,,,,
0,,,529,,0.7134110927581787,,
,,0.001,539,,,,
