epoch,lr-RangerLite,step,train_loss_step
,0.001,9,
0,,9,2.4271016120910645
,0.001,19,
0,,19,1.640238642692566
,0.001,29,
0,,29,1.2987639904022217
,0.001,39,
0,,39,1.3347408771514893
,0.001,49,
0,,49,1.6319937705993652
,0.001,59,
0,,59,2.0321478843688965
,0.001,69,
0,,69,1.9410159587860107
,0.001,79,
0,,79,2.0487008094787598
,0.001,89,
0,,89,2.0579400062561035
,0.001,99,
0,,99,1.9590799808502197
,0.001,109,
0,,109,1.691762089729309
,0.001,119,
0,,119,1.6580313444137573
,0.001,129,
0,,129,1.6507983207702637
,0.001,139,
0,,139,1.6218175888061523
,0.001,149,
0,,149,1.6247673034667969
,0.001,159,
0,,159,1.6278495788574219
,0.001,169,
0,,169,1.5474433898925781
,0.001,179,
0,,179,1.6291857957839966
,0.001,189,
0,,189,1.671580195426941
,0.001,199,
0,,199,1.6719930171966553
,0.001,209,
0,,209,1.6578000783920288
,0.001,219,
0,,219,1.5690850019454956
,0.001,229,
0,,229,1.7087279558181763
,0.001,239,
0,,239,1.5875251293182373
,0.001,249,
0,,249,1.6228536367416382
,0.001,259,
0,,259,1.5876023769378662
,0.001,269,
0,,269,1.5604463815689087
,0.001,279,
0,,279,1.6460685729980469
,0.001,289,
0,,289,1.6475415229797363
,0.001,299,
0,,299,1.5877788066864014
,0.001,309,
0,,309,1.727102518081665
,0.001,319,
0,,319,1.7038240432739258
,0.001,329,
0,,329,1.6649268865585327
,0.001,339,
0,,339,1.6564079523086548
,0.001,349,
0,,349,1.63609778881073
,0.001,359,
0,,359,1.7775428295135498
,0.001,369,
0,,369,1.5275219678878784
,0.001,379,
0,,379,1.7768995761871338
,0.001,389,
0,,389,1.7582656145095825
,0.001,399,
0,,399,1.7947466373443604
,0.001,409,
0,,409,1.518377423286438
,0.001,419,
0,,419,1.5047364234924316
,0.001,429,
0,,429,1.5650477409362793
,0.001,439,
0,,439,1.6544740200042725
,0.001,449,
0,,449,1.5670584440231323
,0.001,459,
0,,459,1.828329086303711
,0.001,469,
0,,469,1.3686997890472412
,0.001,479,
0,,479,1.6986594200134277
,0.001,489,
0,,489,1.4551358222961426
,0.001,499,
0,,499,1.4033229351043701
,0.001,509,
0,,509,0.8669394254684448
,0.001,519,
0,,519,0.8364340662956238
,0.001,529,
0,,529,0.8089240789413452
,0.001,539,
0,,539,0.8066795468330383
,0.001,549,
0,,549,0.7546757459640503
,0.001,559,
0,,559,0.7532591223716736
,0.001,569,
0,,569,0.7480236887931824
,0.001,579,
0,,579,0.6506280303001404
,0.001,589,
0,,589,0.727944552898407
,0.001,599,
0,,599,0.6796251535415649
,0.001,609,
0,,609,0.7169484496116638
,0.001,619,
0,,619,0.6807655692100525
,0.001,629,
0,,629,0.6370388865470886
,0.001,639,
0,,639,0.6250268816947937
,0.001,649,
0,,649,0.6644648313522339
,0.001,659,
0,,659,0.6532887816429138
,0.001,669,
0,,669,0.6394700407981873
,0.001,679,
0,,679,0.6632001399993896
,0.001,689,
0,,689,0.593828558921814
,0.001,699,
0,,699,0.6125694513320923
,0.001,709,
0,,709,0.5779517292976379
,0.001,719,
0,,719,0.5596704483032227
,0.001,729,
0,,729,0.5796874761581421
,0.001,739,
0,,739,0.5389305949211121
,0.001,749,
0,,749,0.506090521812439
,0.001,759,
0,,759,0.5498555898666382
,0.001,769,
0,,769,0.5289348363876343
,0.001,779,
0,,779,0.5754011869430542
,0.001,789,
0,,789,0.520982027053833
,0.001,799,
0,,799,0.5638050436973572
,0.001,809,
0,,809,0.5505226850509644
,0.001,819,
0,,819,0.4937530755996704
,0.001,829,
0,,829,0.49461624026298523
,0.001,839,
0,,839,0.5688879489898682
,0.001,849,
0,,849,0.5347406268119812
,0.001,859,
0,,859,0.6442434191703796
,0.001,869,
0,,869,0.5386897325515747
,0.001,879,
0,,879,0.46137142181396484
,0.001,889,
0,,889,0.5086813569068909
,0.001,899,
0,,899,0.5251728296279907
,0.001,909,
0,,909,0.5568668842315674
,0.001,919,
0,,919,0.47415977716445923
,0.001,929,
0,,929,0.5213091969490051
,0.001,939,
0,,939,0.4843488931655884
,0.001,949,
0,,949,0.4673413038253784
,0.001,959,
0,,959,0.508399486541748
,0.001,969,
0,,969,0.4658660292625427
,0.001,979,
0,,979,0.5100414156913757
,0.001,989,
0,,989,0.45270830392837524
,0.001,999,
0,,999,0.4860421419143677
,0.001,1009,
0,,1009,0.40999171137809753
,0.001,1019,
0,,1019,0.3883482813835144
,0.001,1029,
0,,1029,0.41014957427978516
,0.001,1039,
0,,1039,0.398182213306427
,0.001,1049,
0,,1049,0.3757736384868622
,0.001,1059,
0,,1059,0.32969963550567627
,0.001,1069,
0,,1069,0.37583163380622864
,0.001,1079,
0,,1079,0.3274025022983551
,0.001,1089,
0,,1089,0.34540459513664246
,0.001,1099,
0,,1099,0.3574988543987274
,0.001,1109,
0,,1109,0.33093833923339844
,0.001,1119,
0,,1119,0.31775662302970886
,0.001,1129,
0,,1129,0.3573809862136841
,0.001,1139,
0,,1139,0.3272852599620819
,0.001,1149,
0,,1149,0.40221482515335083
,0.001,1159,
0,,1159,0.3430269658565521
,0.001,1169,
0,,1169,0.36741626262664795
,0.001,1179,
0,,1179,0.38145679235458374
,0.001,1189,
0,,1189,0.31062638759613037
,0.001,1199,
0,,1199,0.32982325553894043
,0.001,1209,
0,,1209,0.32523515820503235
,0.001,1219,
0,,1219,0.3089886009693146
,0.001,1229,
0,,1229,0.3375195264816284
,0.001,1239,
0,,1239,0.2910088896751404
,0.001,1249,
0,,1249,0.2854551076889038
,0.001,1259,
0,,1259,0.3633298873901367
,0.001,1269,
0,,1269,0.29571354389190674
,0.001,1279,
0,,1279,0.273100882768631
,0.001,1289,
0,,1289,0.27674445509910583
,0.001,1299,
0,,1299,0.36000585556030273
,0.001,1309,
0,,1309,0.27649980783462524
,0.001,1319,
0,,1319,0.26467129588127136
,0.001,1329,
0,,1329,0.2951123118400574
,0.001,1339,
0,,1339,0.31046363711357117
,0.001,1349,
0,,1349,0.2807407081127167
,0.001,1359,
0,,1359,0.30981430411338806
,0.001,1369,
0,,1369,0.25047871470451355
,0.001,1379,
0,,1379,0.29919689893722534
,0.001,1389,
0,,1389,0.28006190061569214
,0.001,1399,
0,,1399,0.24700728058815002
,0.001,1409,
0,,1409,0.2871665358543396
,0.001,1419,
0,,1419,0.28804564476013184
,0.001,1429,
0,,1429,0.3155366778373718
,0.001,1439,
0,,1439,0.26587024331092834
,0.001,1449,
0,,1449,0.2485114336013794
,0.001,1459,
0,,1459,0.2830684185028076
,0.001,1469,
0,,1469,0.3173862397670746
,0.001,1479,
0,,1479,0.2547842860221863
,0.001,1489,
0,,1489,0.22902733087539673
,0.001,1499,
0,,1499,0.2511037588119507
,0.001,1509,
0,,1509,0.21223196387290955
,0.001,1519,
0,,1519,0.2906402349472046
,0.001,1529,
0,,1529,0.2475283294916153
,0.001,1539,
0,,1539,0.19406048953533173
,0.001,1549,
0,,1549,0.27726808190345764
,0.001,1559,
0,,1559,0.2276744544506073
,0.001,1569,
0,,1569,0.2338886260986328
,0.001,1579,
0,,1579,0.2804238498210907
,0.001,1589,
0,,1589,0.22022855281829834
,0.001,1599,
0,,1599,0.26308223605155945
,0.001,1609,
0,,1609,0.20469063520431519
,0.001,1619,
0,,1619,0.24820515513420105
,0.001,1629,
0,,1629,0.19690345227718353
,0.001,1639,
0,,1639,0.26331615447998047
,0.001,1649,
0,,1649,0.20340923964977264
,0.001,1659,
0,,1659,0.2116192728281021
,0.001,1669,
0,,1669,0.2117253988981247
,0.001,1679,
0,,1679,0.19177892804145813
,0.001,1689,
0,,1689,0.1947345733642578
,0.001,1699,
0,,1699,0.21673130989074707
,0.001,1709,
0,,1709,0.22101688385009766
,0.001,1719,
0,,1719,0.18620887398719788
,0.001,1729,
0,,1729,0.1934032142162323
,0.001,1739,
0,,1739,0.199875146150589
,0.001,1749,
0,,1749,0.20218883454799652
,0.001,1759,
0,,1759,0.1690647453069687
,0.001,1769,
0,,1769,0.17713551223278046
,0.001,1779,
0,,1779,0.16560468077659607
,0.001,1789,
0,,1789,0.18624068796634674
,0.001,1799,
0,,1799,0.18525463342666626
,0.001,1809,
0,,1809,0.1976589560508728
,0.001,1819,
0,,1819,0.18732573091983795
,0.001,1829,
0,,1829,0.1748928725719452
,0.001,1839,
0,,1839,0.1661166250705719
,0.001,1849,
0,,1849,0.1955992877483368
,0.001,1859,
0,,1859,0.2104927897453308
,0.001,1869,
0,,1869,0.18537919223308563
,0.001,1879,
0,,1879,0.19100242853164673
,0.001,1889,
0,,1889,0.1745237410068512
,0.001,1899,
0,,1899,0.19658757746219635
,0.001,1909,
0,,1909,0.1740942895412445
,0.001,1919,
0,,1919,0.1947668492794037
,0.001,1929,
0,,1929,0.17650945484638214
,0.001,1939,
0,,1939,0.1823883056640625
