epoch,lr-RangerLite,step,train_loss_step
,0.001,9,
0,,9,2.925693988800049
,0.001,19,
0,,19,2.2399163246154785
,0.001,29,
0,,29,1.952007532119751
,0.001,39,
0,,39,1.7851958274841309
,0.001,49,
0,,49,1.8945348262786865
,0.001,59,
0,,59,2.1227564811706543
,0.001,69,
0,,69,1.933470606803894
,0.001,79,
0,,79,1.8520381450653076
,0.001,89,
0,,89,nan
,0.001,99,
0,,99,nan
,0.001,109,
0,,109,nan
,0.001,119,
0,,119,nan
,0.001,129,
0,,129,nan
,0.001,139,
0,,139,nan
,0.001,149,
0,,149,nan
,0.001,159,
0,,159,nan
,0.001,169,
0,,169,nan
