epoch,lr-RangerLite,step,train_loss_step,val_loss_step
,0.001,9,,
0,,9,nan,
,0.001,19,,
0,,19,nan,
,0.001,29,,
0,,29,nan,
,0.001,39,,
0,,39,nan,
,0.001,49,,
0,,49,nan,
,0.001,59,,
0,,59,nan,
,0.001,69,,
0,,69,nan,
,0.001,79,,
0,,79,nan,
,0.001,89,,
0,,89,nan,
,0.001,99,,
0,,99,nan,
,0.001,109,,
0,,109,nan,
,0.001,119,,
0,,119,nan,
,0.001,129,,
0,,129,nan,
,0.001,139,,
0,,139,nan,
,0.001,149,,
0,,149,nan,
,0.001,159,,
0,,159,nan,
,0.001,169,,
0,,169,nan,
,0.001,179,,
0,,179,nan,
,0.001,189,,
0,,189,nan,
,0.001,199,,
0,,199,nan,
,0.001,209,,
0,,209,nan,
,0.001,219,,
0,,219,nan,
,0.001,229,,
0,,229,nan,
,0.001,239,,
0,,239,nan,
,0.001,249,,
0,,249,nan,
,,0,,nan
,,1,,nan
,,2,,nan
,,3,,nan
,,4,,nan
,,5,,nan
